zaman_damgasi,deprem_hissetti_mi,binada_miydi,bina_yasi,ilce,mahalle,kat_sayisi,hasar_durumu,yumusak_kat,kapali_cikma,nizami_duzende_mi,simetrik_yapi_mi,asma_kat,fay_uzakligi_km,fay_risk_kategorisi,hasar_skor
11.11.2025 17:38:15,Evet,Evet,21-30,İskenderun,Düğünyurdu sokak,3,Ağır Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,5.962665819671988,Yakın (5-10km),3
11.11.2025 17:41:29,Evet,Evet,30+,Antakya,Akevler mahallesi,2,Depremde Yıkıldı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,8.865168343776528,Yakın (5-10km),4
11.11.2025 17:46:28,Evet,Evet,11-20,Arsuz,Arpaderesi ,3,Ağır Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,23.014869227322055,Çok Uzak (20+km),3
11.11.2025 17:47:10,Evet,Hayır,30+,İskenderun,Hatay İskenderun 159. Sokak,2,Ağır Hasarlı,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,5.962665819671988,Yakın (5-10km),3
11.11.2025 17:47:59,Evet,Evet,11-20,İskenderun,Gürsel ,3,Ağır Hasarlı,Evet,Evet,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,5.975163109678897,Yakın (5-10km),3
11.11.2025 17:48:24,Evet,Hayır,21-30,Arsuz,Madenli ,1,Az Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,22.517622415477415,Çok Uzak (20+km),1
11.11.2025 17:55:59,Evet,Evet,0-5,İskenderun,Şahin tepesi ,10,Az Hasarlı,Hayır,Evet,Evet Nizami Bir Düzendeydi,Hayır asimetrik bir yapıdaydı,,4.838421908240076,Çok Yakın (0-5km),1
11.11.2025 18:09:13,Evet,Evet,30+,İskenderun,Meydan mahallesi ,2,Az Hasarlı,Evet,Hayır,Hayır Nizami Bir Düzende Değildi,Hayır asimetrik bir yapıdaydı,,5.962665819671988,Yakın (5-10km),1
11.11.2025 18:10:16,Evet,Evet,30+,İskenderun,İsmet İnönü ,4,Ağır Hasarlı,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,5.680522719587418,Yakın (5-10km),3
11.11.2025 18:11:55,Evet,Evet,6-10,İskenderun,Nunune,6,Hasarsız,Hayır,Evet,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,5.962665819671988,Yakın (5-10km),0
11.11.2025 18:22:23,Evet,Evet,11-20,İskenderun,Karaağaç övündük,1,Hasarsız,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,21.921989979563325,Çok Uzak (20+km),0
11.11.2025 19:32:32,Evet,Evet,30+,Arsuz,Arpaderesi,2,Az Hasarlı,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,23.014869227322055,Çok Uzak (20+km),1
11.11.2025 19:58:43,Evet,Evet,11-20,İskenderun,Modernevler mahallesi,2,Az Hasarlı,Hayır,Evet,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,5.554117842698117,Yakın (5-10km),1
11.11.2025 20:35:47,Evet,Evet,6-10,İskenderun,Pirireis mahallesi,3,Hasarsız,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,5.260184974389471,Yakın (5-10km),0
11.11.2025 21:23:12,Evet,Evet,6-10,İskenderun,Sakarya Mahallesi,5,Az Hasarlı,Evet,Evet,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,5.975497618807532,Yakın (5-10km),1
11.11.2025 21:47:24,Evet,Evet,6-10,İskenderun,Piri reis mahallesi Fatih Sultan Mehmet caddesi ,5,Hasarsız,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,0.2105407915174864,Çok Yakın (0-5km),0
12.11.2025 00:12:18,Evet,Evet,21-30,İskenderun,Süleymaniye ,4,Az Hasarlı,Hayır,Evet,Hayır Nizami Bir Düzende Değildi,Hayır asimetrik bir yapıdaydı,,5.680840749592397,Yakın (5-10km),1
12.11.2025 06:34:56,Evet,Evet,6-10,Arsuz,Nardüzü mahallesi ,3,Hasarsız,Hayır,Evet,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,6.734198497974012,Yakın (5-10km),0
12.11.2025 06:47:37,Evet,Evet,0-5,Antakya,Aksaray,6,Ağır Hasarlı,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,9.49694682677726,Yakın (5-10km),3
12.11.2025 09:26:44,Hayır,Evet,30+,İskenderun,Esentepe /İskenderun ,2,Hasarsız,Hayır,Evet,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,5.049047268073128,Yakın (5-10km),0
12.11.2025 10:07:06,Evet,Evet,11-20,Arsuz,Yukarı kepirce mahallesi ,2,Ağır Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,21.710094049023816,Çok Uzak (20+km),3
13.11.2025 15:55:07,Evet,Evet,6-10,Arsuz,Nergizlik,2,Az Hasarlı,Evet,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,22.133907289663682,Çok Uzak (20+km),1
15.11.2025 17:01:09,Evet,Evet,21-30,İskenderun,Çankaya,3,Orta Hasarlı,Hayır,Hayır,Hayır Nizami Bir Düzende Değildi,Evet kare veya dikdörtgen bir yapıdaydı,,6.227553418127534,Yakın (5-10km),2
26.11.2025 13:09:48,Evet,Evet,6-10,İskenderun,Sakarya,4,Az Hasarlı,Hayır,Hayır,Evet Nizami Bir Düzendeydi,Evet kare veya dikdörtgen bir yapıdaydı,,5.975497618807532,Yakın (5-10km),1
